datetime=2026-02-02T00:18:00Z	cip=10.9.6.149	login=sadye.daugherty74	url=https://slack.com/login?id=yysVKL&ref=gqui	action=allowed	urlcat=Business	threatname=	respcode=200	bytes_out=92	bytes_in=2964	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T10:48:23Z	cip=10.4.216.48	login=junior88	url=https://reuters.com/business	action=allowed	urlcat=News & Media	threatname=	respcode=200	bytes_out=257	bytes_in=34655	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T10:51:29Z	cip=10.4.216.48	login=junior88	url=https://drive.google.com/upload	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=637	bytes_in=29339	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0	reqmethod=PUT
datetime=2026-02-02T10:55:24Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://box.com/upload	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=263	bytes_in=7779	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:27Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://wetransfer.com/download	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=84	bytes_in=10077	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:30Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/upload?id=H4XcEU&ref=fVoX	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=391	bytes_in=4167	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:33Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://wetransfer.com/folder?id=59DrNk&ref=Y33H	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=362	bytes_in=16013	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:36Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://dropbox.com/upload?id=vtlzJH&ref=gA97	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=327	bytes_in=14028	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:39Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://wetransfer.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=105	bytes_in=17466	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:42Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://dropbox.com/folder?id=buWkBT&ref=DmZb	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=238	bytes_in=16036	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:45Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/share?id=ahXTd7&ref=mARX	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=316	bytes_in=12181	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:48Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=243	bytes_in=16999	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:51Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://dropbox.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=390	bytes_in=16014	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:54Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/download	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=184	bytes_in=7261	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:55:57Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://box.com/share	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=255	bytes_in=3307	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:00Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://dropbox.com/download	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=212	bytes_in=4060	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:03Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/upload?id=tOhQH7&ref=D9E8	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=193	bytes_in=11549	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:06Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/folder?id=sRblti&ref=CfLv	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=89	bytes_in=12727	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:09Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://box.com/upload?id=cpczIR&ref=EGBZ	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=149	bytes_in=5692	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:12Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://drive.google.com/upload?id=gtXXKo&ref=RSUD	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=128	bytes_in=2276	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:15Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://wetransfer.com/folder?id=u1Uh1Z&ref=jSsF	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=142	bytes_in=10306	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:56:18Z	cip=10.9.100.150	login=yesenia_kuvalis	url=https://dropbox.com/download?id=hTtBE4&ref=1Wgn	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=292	bytes_in=5108	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T10:59:40Z	cip=10.4.18.33	login=reina.waters	url=https://target.com/deals	action=allowed	urlcat=Shopping	threatname=	respcode=204	bytes_out=77	bytes_in=14075	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T10:59:55Z	cip=10.4.18.33	login=reina.waters	url=https://target.com/cart	action=allowed	urlcat=Shopping	threatname=	respcode=200	bytes_out=291	bytes_in=9866	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T11:00:01Z	cip=10.4.18.33	login=reina.waters	url=https://drive.google.com/folder	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=98	bytes_in=14195	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T11:00:30Z	cip=10.4.18.33	login=reina.waters	url=https://ebay.com/product	action=blocked	urlcat=Shopping	threatname=	respcode=407	bytes_out=821	bytes_in=21252	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T11:01:01Z	cip=10.4.18.33	login=reina.waters	url=https://amazon.com/orders	action=allowed	urlcat=Shopping	threatname=	respcode=200	bytes_out=1445	bytes_in=3154	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T11:01:12Z	cip=10.4.18.33	login=reina.waters	url=https://walmart.com/checkout	action=allowed	urlcat=Shopping	threatname=	respcode=302	bytes_out=356	bytes_in=31754	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T11:03:24Z	cip=10.4.161.206	login=jovan70	url=https://github.com/package	action=allowed	urlcat=Technology	threatname=	respcode=201	bytes_out=669	bytes_in=27320	useragent=Mozilla/5.0 (iPhone; CPU iPhone OS 17_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1	reqmethod=PUT
datetime=2026-02-02T11:08:58Z	cip=10.4.252.214	login=alize95	url=https://aws.amazon.com/repo/issues	action=allowed	urlcat=Technology	threatname=	respcode=204	bytes_out=1661	bytes_in=39945	useragent=Mozilla/5.0 (iPhone; CPU iPhone OS 17_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1	reqmethod=PUT
datetime=2026-02-02T11:19:50Z	cip=10.4.252.214	login=alize95	url=https://atlassian.net/reports/quarterly?id=Pk6PLG&ref=Uu73	action=allowed	urlcat=Business	threatname=	respcode=204	bytes_out=378	bytes_in=9380	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=HEAD
datetime=2026-02-02T11:20:06Z	cip=10.4.252.214	login=alize95	url=https://dropbox.com/upload	action=allowed	urlcat=File Sharing	threatname=	respcode=200	bytes_out=211	bytes_in=7549	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T11:20:36Z	cip=10.4.252.214	login=alize95	url=https://drive.google.com/upload?id=Uc8Cwz&ref=rsMd	action=allowed	urlcat=File Sharing	threatname=	respcode=204	bytes_out=336	bytes_in=3670	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=POST
datetime=2026-02-02T11:20:55Z	cip=10.4.252.214	login=alize95	url=https://linkedin.com/notifications?id=KNpZGK&ref=bPWe	action=allowed	urlcat=Social Networking	threatname=	respcode=200	bytes_out=125	bytes_in=1309	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T11:21:24Z	cip=10.4.252.214	login=alize95	url=https://zoom.us/login	action=allowed	urlcat=Business	threatname=	respcode=200	bytes_out=93	bytes_in=7337	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T11:21:38Z	cip=10.4.252.214	login=alize95	url=https://mail.google.com/calendar	action=allowed	urlcat=Webmail	threatname=	respcode=200	bytes_out=311	bytes_in=1078	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T11:21:54Z	cip=10.4.252.214	login=alize95	url=https://nytimes.com/technology?id=lJe7vx&ref=FLHQ	action=allowed	urlcat=News & Media	threatname=	respcode=301	bytes_out=382	bytes_in=10599	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=GET
datetime=2026-02-02T11:28:09Z	cip=10.4.252.214	login=alize95	url=https://outlook.office.com/compose	action=allowed	urlcat=Webmail	threatname=	respcode=200	bytes_out=337	bytes_in=14357	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=HEAD
datetime=2026-02-02T11:28:40Z	cip=10.4.252.214	login=alize95	url=https://github.com/repo/issues	action=allowed	urlcat=Technology	threatname=	respcode=200	bytes_out=338	bytes_in=27376	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=POST
datetime=2026-02-02T11:28:59Z	cip=10.4.252.214	login=alize95	url=https://instagram.com/messages	action=allowed	urlcat=Social Networking	threatname=	respcode=204	bytes_out=250	bytes_in=14306	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T11:32:03Z	cip=10.9.166.252	login=roscoe.feil	url=https://secure-login-verify.com/confirm	action=allowed	urlcat=Phishing	threatname=	respcode=200	bytes_out=88	bytes_in=4172	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T12:28:44Z	cip=10.9.185.31	login=dereck_ondricka	url=https://facebook.com/profile	action=blocked	urlcat=Social Networking	threatname=Emotet.C2	respcode=403	bytes_out=235	bytes_in=1425	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=GET
datetime=2026-02-02T13:09:35Z	cip=10.4.93.135	login=virginia_cormier	url=https://salesforce.com/reports/quarterly	action=allowed	urlcat=Business	threatname=	respcode=204	bytes_out=1542	bytes_in=9684	useragent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36	reqmethod=POST
datetime=2026-02-02T13:21:31Z	cip=10.4.161.206	login=jovan70	url=https://salesforce.com/login	action=allowed	urlcat=Business	threatname=	respcode=200	bytes_out=1615	bytes_in=27477	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0	reqmethod=POST
datetime=2026-02-02T13:28:58Z	cip=10.4.18.33	login=reina.waters	url=https://npmjs.com/docs?id=pwvVi3&ref=Udnw	action=allowed	urlcat=Technology	threatname=	respcode=204	bytes_out=1103	bytes_in=18186	useragent=Mozilla/5.0 (iPhone; CPU iPhone OS 17_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1	reqmethod=PUT
datetime=2026-02-02T13:37:40Z	cip=10.4.216.48	login=junior88	url=https://workday.com/tickets	action=allowed	urlcat=Business	threatname=	respcode=204	bytes_out=630	bytes_in=861	useragent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0	reqmethod=POST
datetime=2026-02-02T13:46:46Z	cip=10.4.181.255	login=edmund_skiles57	url=https://mail.yahoo.com/inbox	action=allowed	urlcat=Webmail	threatname=	respcode=200	bytes_out=1682	bytes_in=32613	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T13:46:51Z	cip=10.4.181.255	login=edmund_skiles57	url=https://docusign.net/tickets	action=allowed	urlcat=Business	threatname=	respcode=204	bytes_out=1402	bytes_in=21409	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T13:47:07Z	cip=10.4.181.255	login=edmund_skiles57	url=https://bbc.com/technology?id=W0TJat&ref=ZD7s	action=blocked	urlcat=News & Media	threatname=	respcode=403	bytes_out=593	bytes_in=19500	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T13:47:28Z	cip=10.4.181.255	login=edmund_skiles57	url=https://wetransfer.com/upload	action=allowed	urlcat=File Sharing	threatname=	respcode=302	bytes_out=167	bytes_in=12288	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=GET
datetime=2026-02-02T13:47:43Z	cip=10.4.181.255	login=edmund_skiles57	url=https://bbc.com/technology?id=bslrs8&ref=bQaF	action=allowed	urlcat=News & Media	threatname=	respcode=200	bytes_out=683	bytes_in=27898	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T13:48:03Z	cip=10.4.181.255	login=edmund_skiles57	url=https://workday.com/meetings/join	action=allowed	urlcat=Business	threatname=	respcode=200	bytes_out=1037	bytes_in=711	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=PUT
datetime=2026-02-02T13:48:20Z	cip=10.4.181.255	login=edmund_skiles57	url=https://workday.com/dashboard	action=allowed	urlcat=Business	threatname=	respcode=200	bytes_out=426	bytes_in=28311	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15	reqmethod=POST
datetime=2026-02-02T14:12:11Z	cip=10.4.171.192	login=marlon99	url=https://target.com/deals	action=allowed	urlcat=Shopping	threatname=	respcode=301	bytes_out=846	bytes_in=3501	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=POST
datetime=2026-02-02T14:12:37Z	cip=10.4.171.192	login=marlon99	url=https://nytimes.com/world	action=allowed	urlcat=News & Media	threatname=	respcode=200	bytes_out=539	bytes_in=37794	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=PUT
datetime=2026-02-02T14:12:53Z	cip=10.4.171.192	login=marlon99	url=https://docusign.net/dashboard?id=bKMMYS&ref=upUB	action=allowed	urlcat=Business	threatname=	respcode=204	bytes_out=75	bytes_in=9066	useragent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36	reqmethod=GET
